,paths,target,contrast,energy,homogeneity,correlation,dissimilarity
0,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated1-rotated1.jpg,fracture,62.074967824967814,0.18137178384175265,0.5739618017900703,0.9816803395819241,2.9424469111969107
1,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated1-rotated2.jpg,fracture,61.69194417631918,0.18365783231632074,0.5685580388161495,0.9824581580540904,3.0627212033462032
2,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated1-rotated3.jpg,fracture,60.96531129343629,0.1894490915350638,0.5732453837979601,0.983152235926464,3.12932351994852
3,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated1.jpg,fracture,127.83335344272847,0.17296071094128487,0.5730063586688494,0.959753411372975,3.4104528635778637
4,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated2-rotated1.jpg,fracture,72.36458333333331,0.17392725339831155,0.5872434712770473,0.9776120991944593,2.724903474903474
5,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated2-rotated2.jpg,fracture,111.90112210424712,0.16217434417265406,0.5639228745167186,0.9619073704078881,3.226773648648649
6,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated2-rotated3.jpg,fracture,67.46062580437581,0.19675847714955275,0.5792431390175732,0.9824386387243798,3.169522200772201
7,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated2.jpg,fracture,69.67125160875159,0.17747289431453298,0.5679710864275231,0.9791696132460743,3.0820061132561123
8,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated3-rotated1.jpg,fracture,88.97663288288288,0.20208282091251037,0.5719283935150338,0.9765397697091209,3.6578989703989704
9,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated3-rotated2.jpg,fracture,110.27567969755471,0.19649038707785443,0.5918077717419198,0.9708257685095869,3.382380148005148
10,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated3-rotated3.jpg,fracture,109.57384169884169,0.20021710526216532,0.5972100591822439,0.9710573251875947,3.32911036036036
11,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1-rotated3.jpg,fracture,74.16465572715572,0.20148456923927927,0.5695447785807058,0.9805709580946086,3.691200128700128
12,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated1.jpg,fracture,88.13728684041185,0.1688100321472529,0.5610198973933433,0.9664019768205744,3.204814189189188
13,C:/Users/Akshat Mittu/Desktop/Model Monitoring Dashboard/pages/models/Bone Fracture Detection/Baseline/fracture/10-rotated2-rotated1-rotated2.jpg,fracture,88.34141731016729,0.17400020540146136,0.5729558511838598,0.9716634408837714,3.0559845559845558
