,target,length,readability,bleu,rouge_recall,rouge_precision,rouge_F1,similarity_with_gt,similarity_wth_text
0,Atletico Madrid midfielder Koke has been linked with a summer move to Chelsea. Chelsea boss Jose Mourinho is reportedly planning a part-exchange deal for Koke. The Spanish newspaper AS report that Mourinho is also interested in signing Filipe Luis.,39,8.4,0.0,0.44,0.56,0.49,0.81,0.86
1,"Dimitri Harrell, 21,'shot dead his fiancée at their Minneapolis apartment' He reportedly pulled out his gun and pointed it at Samirria White, 19. She had been arguing with him after he vanished several times during night. He then shot her in the face while holding their baby daughter in his arms. Harrell later admitted to police he had stored handgun under daughter's mattress.",63,8.3,0.0,0.56,0.36,0.44,0.87,0.85
2,"Sevilla goalkeeper Sergio Rico has been given the task of stopping Barca's formidable trio of Luis Suarez, Neymar and Lionel Messi. Mundo Deportivo say that if Barcelona beat Sevilla they'd be 'halfway to La Liga' Goal-line technology is a major talking point in Italy as it's confirmed for the Coppa Italia Final between Juventus and Lazio.",56,13.0,0.0,0.23,0.21,0.22,0.94,0.96
3,"Police are hunting the owner of a 'Staffy-type' dog after girl, 4, suffered bite wounds to face. She was outside shops with her older sister in Brighton, East Sussex. Dog was off the lead with two similar dogs - two were black and one white.",45,5.5,0.0,0.39,0.47,0.43,0.96,0.98
4,"Brayden Travis, 18, was left without medical attention for seven hours after overdosing on heroin and Xanax at a friend's house in St. Charles County, Missouri. His lungs and kidneys failed, and he suffered a stroke and severe brain damage. His mother wrote that he will likely remain in a vegetative state. Doctors warned that he will likely remain in a vegetative state.",63,7.0,0.0,0.63,0.4,0.49,0.99,0.98
5,Alastair Cook put West Indies skipper Bryce Smith in to bat. Adil Rashid was left out after being bowled out by James Anderson. RUDE AWAKENING: Root 'wasn't a huge fan',30,3.7,0.0,0.28,0.24,0.25,0.99,0.99
6,JUVE beat Monaco 2-0 in the Champions League qualifier on Tuesday night. Arturo Vidal scored from the penalty spot for the hosts. Ricardo Carvalho gave away a penalty for the home side.,32,6.3,0.0,0.41,0.31,0.35,0.99,0.99
7,Victor Wanyama claims he has never spoken to Arsene Wenger over a move to Arsenal. Wanyama was linked with a move to the Emirates from Celtic in 2013. Wanyama also reported to have been open to a reunion with former Saints boss Mauricio Pochettino at Tottenham.,46,6.9,0.0,0.47,0.38,0.42,0.99,1.0
8,Alan Pardew says he would sell Yannick Bolasie for £40m to £60m. Pardew admits all players are undervalued at Crystal Palace. The former Newcastle boss believes selling one player for big money is a good move.,36,5.6,0.0,0.32,0.39,0.35,1.0,1.0
9,Spacewalks were in preparation for the arrival of multibillion pound commercial spacecraft. They were recorded by astronauts Barry Wilmore and Terry Virts on February 25 and March 1. The clip was recorded to give the future ISS workers an idea of what they can expect when they go into space to carry out maintenance. Nasa recently signed a contract with commercial spaceflight companies SpaceX and Boeing with the intention of producing craft capable of transporting astronauts to the ISS.,79,9.8,0.0,0.32,0.56,0.41,1.0,1.0
10,Harry Kane has been nominated for PFA Young Player of the Year. Eden Harzard and Thibaut Courtois have also been nominated. Raheem Sterling and Philippe Coutinho are Liverpool's standout performers.,30,7.2,0.0,0.52,0.39,0.44,1.0,1.0
11,"Researchers at the Natural History Museum in London and University College London have found evidence that the bones found in Gough's Cave were 14,700 years old. They say the bones had been cut from them before being chewed and crushed. The findings suggest people living there engaged in ritual cannibalism.",50,8.6,0.0,0.6,0.4,0.48,1.0,1.0
12,Newcastle fans have been encouraged to stand up in protest against Mike Ashley. Fans group AshleyOut.com was behind last Sunday's boycott of Spurs game. They are also encouraging fans to ‘Stand Up To Ashley’ this weekend. Newcastle announced record profits of £18.7m earlier this month before revealing that another £34m is in the bank.,54,5.6,0.0,0.26,0.29,0.27,1.0,1.0
13,"Burnell 'Bernie' Mitchell arrested on suspicion of conspiracy to murder. Another 53-year-old woman also arrested on suspicion of terrorism offences. Mr Arwani, 48, was found dead in his car at Wembley last week. He used to preach at An Noor Mosque in Acton, where he lived with his family.",49,6.9,0.0,0.41,0.37,0.39,1.0,1.0
14,"V. Stiviano ordered to repay more than $2.6 million in gifts after her husband sued her. She claimed Donald Sterling gave her lavish gifts, including a $391 Easter bunny costume and a $299 two-speed blender.",35,5.5,0.0,0.36,0.38,0.37,1.0,1.0
15,"Gary Field was seen at a Ukip event in South Thanet last night. Farage was campaigning with members of the East Kent English Patriots. The group were led by Mr Field, a former regional organiser of the EDL. Mr Field has a criminal record for assault and has been described as a 'crack'",53,4.9,0.0,0.36,0.41,0.39,1.0,1.0
16,"SNP threatened to paralyse the UK government by blocking ‘any bit of spending’ they do not agree with. The threat came as Angela Eagle, Labour’s shadow leader of the Commons, revealed it was prepared to speak to any other party in a hung Parliament.",44,9.5,0.0,0.47,0.4,0.44,1.0,1.0
17,Hector Bellerin scored the opener against Liverpool last weekend. The Spaniard beat Theo Walcott's 40 metre club sprint record. But Bellerin has emerged as a star right-back after filling in for Debuchy.,32,5.1,0.0,0.52,0.36,0.42,1.0,1.0
18,"Aston Villa drew 1-1 with QPR in their Premier League clash on Tuesday night. Christian Benteke's hat-trick moved Belgium up to third place in the table. Harry Kane has contributed to a total of 255 goals for England so far this season. France sit third, with Argentina and Spain leading the way.",52,4.8,0.0,0.35,0.35,0.35,1.0,1.0
19,"Brett Matthew Paul Thomas, now 56, and his friend, Mark Titch, were convicted in 1977 of murdering Aubrey Duncan, Laura Stoughton and Denise Duncan. They were neighbors at a San Diego apartment complex they called 'The Zoo' because of the criminal activity there. Titch died behind bars last year and Thomas was denied parole.",54,8.0,0.0,0.46,0.42,0.44,1.0,1.0
20,"Two former police officials who quit their jobs with the city of Parma, Missouri, have revealed what they say are the real reasons they stepped down. A black woman, Tyus Byrd, was recently elected mayor of the town over the white incumbent candidate Randall Ramsey.",45,9.7,0.0,0.57,0.27,0.37,1.0,1.0
21,"Kendra Moad of Kearns, Utah, following her grandfather out of the house Friday morning and into the driveway. He pulled his truck forward in the driveway so he could move some garbage cans, did not however see the 20-month-old and ran her over. This is the fourth time since August that a child has been run over in their driveway by a family member in Utah. The grandfather is not facing any charges at this time, but the case remains under investigation.",82,7.7,0.0,0.83,0.68,0.74,1.0,1.0
22,Weibo is a microblogging site which has an incredible 27.2m Premier League fans. Manchester United have over eight million followers on the site. Manchester City also have over eight million followers compared to 2.4million on Twitter.,36,6.1,0.0,0.37,0.24,0.29,1.0,1.0
23,ISIS launched an assault on northern Iraq's Baiji oil refinery late Saturday. It has long been a target because the refinery produces much of the fuel used by Iraqis domestically. The reinforcements come four days after ISIS began attacking northern Iraq's Baiji oil refinery.,44,9.0,0.0,0.36,0.68,0.47,1.0,1.0
24,Bayern Munich beat Bayer Leverkusen 5-3 on penalties. Pep Guardiola was in no mood to celebrate his side's progress. The German champions have only found the net once in their last three games.,33,5.2,0.0,0.56,0.62,0.59,1.0,1.0
25,Is It Wrong To Pick Up Girls In A Dungeon is a Japanese anime show. Women are wearing blue ribbons to give their curves a boost when lifting their arms. The trend has seen ordinary women posting pictures of their success online.,42,6.4,0.0,0.26,0.33,0.29,1.0,1.0
26,"Research by Doddle found more than £1.5billion of unwanted items are piling up. Four in ten Britons have an average £77 because they have not returned it. Most people say it is simply too inconvenient to return the item, survey shows.",41,4.9,0.0,0.45,0.42,0.43,1.0,1.0
27,"Ronnie Lungu, 40, was singled out as 'a marked man' by Wiltshire Police. The force denied the claims and said he was treated unfairly due to skin colour. He said he was left angry and angry after being punished because he was black.",43,5.3,0.0,0.34,0.29,0.32,1.0,1.0
28,"Maickel Melamed, 39, finished the marathon at 5am Tuesday morning. He has a rare form of muscular dystrophy that makes it hard to just walk. But his story touched a city famous for its iron-clad will after the 2013 Boston Marathon bombings.",42,5.2,0.0,0.55,0.37,0.44,1.0,1.0
29,"Pitt vowed to help ‘make it right’ for the city’s thousands of displaced citizens. The actor personally backed the building of 104 homes in Lower Ninth quarter. But a whistleblower informed the company that the wood was defective. Pitt’s Make It Right Foundation is suing Timber Treatment Technologies for $500,000.",50,7.0,0.0,0.42,0.4,0.41,1.0,1.0
30,"Case was created by independent video game hardware developers Hyperkin. It was originally devised as part of an April Fool's joke, but the popularity and demand for a real product was so high the company has announced plans to sell a consumer version.",43,11.7,0.0,0.38,0.36,0.37,1.0,1.0
31,"The Karen was towed at 10 knots 18 miles from Ardglass, Northern Ireland. It is the second time in two months that fishermen have reported being dragged by a Russian submarine. Nato exercises were held this week in northern Scotland.",40,7.3,0.0,0.46,0.36,0.4,1.0,1.0
32,"Vera Maresova, 50, was originally arrested over death of 70-year-old last August. But she has admitted killing five women and one man over four-year period. Maresova injected massive doses of potassium into the blood stream of elderly patients. All of her victims were already in intensive care unit at hospital.",50,8.2,0.0,0.5,0.49,0.49,1.0,1.0
33,Cesc Fabregas returned to the Emirates for the first time since leaving Arsenal. The Chelsea midfielder was booed at half-time after a dangerous dive with David Ospina. Every touch was booed and no cheer was louder than when he was booked by referee Michael Oliver.,45,6.8,0.0,0.47,0.46,0.47,1.0,1.0
34,"Habeeb Latheef, 48, allegedly assaulted three women during consultations. He told them he needed to place objects in their hands to measure level of feeling. He is accused of carrying out the offences between February 2008 and December 2011.",39,8.4,0.0,0.25,0.26,0.26,1.0,1.0
35,"The Visa Restrictions Index analyses countries' ability to travel visa-free. Countries such as Afghanistan, Pakistan and Somalia are banned from visiting 32 countries without a visa. One of the most restricted passports is that of Somalian citizens.",37,8.1,0.0,0.42,0.42,0.42,1.0,1.0
36,Manny Pacquiao appeared on Mario Lopez’s Extra programme on April 1. The pair met while Pac-Man was filming in Los Angeles for the fight. Pacquiao even sang a duet of Hello with Lopez on stage.,35,4.3,0.0,0.38,0.29,0.33,1.0,1.0
37,"Nancy Perry will no longer teach at Dublin Middle School in Georgia. A 12-year-old boy in her class brought the matter to the attention of her father, Jimmie Scott, who complained to the school board. Perry is alleged to have told students that Obama is a Muslim and that parents who support him couldn't be Christians. The superintendent said she was already planning on retiring before the complaint was filed.",70,7.8,0.0,0.64,0.51,0.56,1.0,1.0
38,"Tracey Taylor, 34, attacked her ex-lover and his new girlfriend on February 18. She broke into her home in Ratby, Leics and rammed the cars with a key. She also threw a vase of roses across the room while her daughters were asleep. Taylor admitted burglary, criminal damage and two counts of common assault.",54,6.2,0.0,0.28,0.32,0.3,1.0,1.0
39,"The Vatican is training up ordinary doctors, teachers and psychologists to cope with a rising tide of demonic possessions. One of the main purposes of the course is help would-be exorcists distinguish demonic possession from psychological or medical conditions.",39,13.3,0.0,0.62,0.49,0.55,1.0,1.0
40,"Mark John Taylor posted a video to YouTube in an attempt to incite violent acts in Australia and New Zealand. He is one of few New Zealanders who are known to be fighting for IS in Syria. In the video, Taylor made headlines after he geo-tagged 45 tweets to the world.",51,6.4,0.0,0.4,0.28,0.33,1.0,1.0
41,"Ronda Blaylock was 14-years-old when she and a friend took a ride home from a stranger in Rural Hall, North Carolina. She was brutally assaulted and stabbed to death but police believe they are on the verge of solving a murder that occurred 35 years ago. The man who gave her a ride home that day was in his early twenties and had lived and worked in the area at the time of the incident.",75,9.5,0.0,0.61,0.36,0.46,1.0,1.0
42,"The 2015 Australian Fashion Report has named and shamed some of the worst clothing brands sold in Australia for the ongoing exploitation of overseas workers. Lowes, Industrie, Best & Less and the Just Group - which includes Just Jeans, Portmans and Dotti - were identified as some of the worst performing companies. The report assessed the labour rights management systems of 59 companies and 219 brands operating in Australia.",69,10.7,0.0,0.54,0.52,0.53,1.0,1.0
43,Pep Guardiola says Jerome Boateng is one of the best in world football. Bastian Schweinsteiger also ruled out of Bayern's clash with BayArena. Bayern take on Bayer Leverkusen in the quarter-finals on Wednesday.,33,6.4,0.0,0.66,0.45,0.54,1.0,1.0
44,Women were filmed twerking in front of Malaya Zemlya monument in Russia. They were sentenced to ten days and another was fined as she was under 16. The women's sentences come as Russia prepares to mark the 70th anniversary of the Second World War victory.,45,6.8,0.0,0.22,0.17,0.19,1.0,1.0
45,"Betting on a baby boy has been hotter than ever, with the 18th, 19th and 20th April being the most popular dates. Along with seven British monarchs, James is also the name of the Duchess's brother. If the Duchess of Cambridge produces a second baby boy, favourites include James and Arthur.",51,6.4,0.0,0.39,0.34,0.36,1.0,1.0
46,"ESPN suspended reporter Britt McHenry for a week after video of her berating a towing company employee surfaced. She posted an apology on Twitter, saying she was ""frustrated""",28,11.1,0.0,0.37,0.31,0.34,1.0,1.0
47,Porto were thrashed 6-1 by Bayern Munich on Tuesday night. The defeat left the Portuguese side with a 7-4 lead in the second leg. A team bus was met with a cacophony of noise from their supporters.,37,4.5,0.0,0.32,0.37,0.34,1.0,1.0
48,"PGA Tour star Rickie Fowler has called out an online hater who accused his girlfriend of being a 'gold digger' The golfer's girlfriend, bikini model Alexis Randock, posted a photo on the beach last week with her 25,000 followers. The photo was shared with her 25,000 followers, which included an abusive commenter known as 'fatalsplash' Fowler received a number of positive comments from other posters who commended him on standing up for his girlfriend ",74,16.5,0.0,0.52,0.45,0.48,1.0,1.0
49,"mudslide in Oso, Washington, last year killed 43 people and their dog. Her husband, Tim Ward, survived but was told he did not have 'landslide insurance' Chase Bank said an anonymous donor had paid the lot.",36,6.8,0.0,0.44,0.3,0.36,1.0,1.0
